station_id,station_name,so_many,one_or_two,none,lines_served
17835,"Cleveland St",2,3,7,"J"
17552,"Fulton St",60,97,220,"2 3 4 5 A C J Z"
17920,"Eltingville",5,12,24,"SIR"
20974,"Jamaica Center-Parsons  /  Archer",20,19,55,"E J Z"
17842,"3 Av",4,8,17,"L"
17806,"Flushing Av",0,7,10,"G"
20051,"81 St-Museum of Natural History",3,13,23,"A C B"
17744,"Newkirk Plaza",5,13,26,"B Q"
17857,"Livonia Av",3,6,13,"L"
17893,"49 St",12,15,39,"N Q R W"
17613,"Hunts Point Av",7,4,16,"6"
17711,"9 Av",5,6,16,"D"
17928,"Old Town",2,9,16,"SIR"
20070,"63 Dr-Rego Park",5,6,16,"E F M R"
17909,"77 St",3,10,19,"R"
17694,"Rockaway Av",7,8,22,"A C"
17638,"Canal St",34,43,114,"4 6 J Z N Q R W"
17639,"Brooklyn Bridge-City Hall / Chambers St",14,23,55,"4 5 6 J Z"
17771,"4 Av - 9 St",14,21,52,"D F G N R W"
17681,"W 4 St - Wash Sq",28,41,103,"A C E B D F M"
17590,"Mt Eden Av",2,2,6,"4"
17617,"Cypress Av",1,3,6,"6"
17631,"33 St",3,9,18,"4 6"
17635,"Astor Pl",4,10,21,"4 6"
17701,"80 St",3,1,6,"A"
17766,"East Broadway",6,10,24,"F"
20019,"66 St-Lincoln Center",5,3,12,"1 2"
17910,"86 St",6,21,41,"R"
17735,"34 St - Herald Sq",37,47,130,"B D F M N Q R W"
17630,"Grand Central - 42 St",44,38,127,"4 5 6 7 S"
17555,"Borough Hall / Court St",9,16,39,"2 3 4 5 N Q R W"
17565,"Winthrop St",4,5,14,"2 5"
17740,"Parkside Av",5,4,14,"B Q"
20068,"Jamaica-Van Wyck",5,4,14,"E"
20973,"5 Av  /  53 St",6,3,14,"E F M"
17498,"168 St - Washington Hts",10,29,61,"1 A C"
17502,"125 St",4,3,11,"1"
17626,"77 St",5,9,22,"4 6"
17852,"Halsey St",4,3,11,"L"
17877,"20 Av",2,5,11,"D N Q W"
20064,"Smith-9 Sts",4,3,11,"F G"
20037,"68 St-Hunter College",7,12,30,"4 6"
17508,"79 St",1,11,19,"1 2"
20975,"5 Av  /  59 St",3,9,19,"N R W"
17683,"Canal St",4,18,35,"A C E"
17533,"Burke Av",1,4,8,"2 5"
17583,"Mosholu Pkwy",3,7,16,"4"
17661,"Dyckman St",4,6,16,"A"
17827,"111 St",2,3,8,"J Z"
17851,"Myrtle - Wyckoff Avs",11,23,55,"M L"
20031,"138 St-Grand Concourse",0,8,13,"4 5"
20054,"Clinton-Washington Avs",4,4,13,"A C"
17878,"Bay Pkwy",10,1,18,"D N Q W"
17589,"176 St",3,3,10,"4"
17772,"7 Av",4,5,15,"F G"
17866,"Central Av",3,3,10,"M"
17588,"Burnside Av",8,9,29,"4"
20158,"Morrison Av-Soundview",8,2,17,"6"
20027,"Crown Hts-Utica Av",23,18,70,"2 3 4 5"
17507,"86 St",3,4,12,"1 2"
17586,"Fordham Rd",4,8,21,"4"
17746,"Avenue J",1,7,14,"B Q"
17837,"Alabama Av",3,1,7,"J Z"
20052,"34 St-Penn Station",20,28,84,"A C E"
20086,"39 Av-Dutch Kills",2,2,7,"N W"
17924,"New Dorp",11,6,30,"SIR"
17900,"DeKalb Av",11,19,53,"B D N Q R W"
17918,"Huguenot",5,8,23,"SIR"
17511,"59 St - Columbus Circle",35,42,137,"1 2 A C B D"
17541,"Simpson St",1,8,16,"2 5"
17526,"South Ferry / Whitehall",4,26,55,"1 2 N Q R W"
17607,"Castle Hill Av",2,4,11,"6"
17663,"181 St",4,2,11,"A"
17853,"Wilson Av",4,2,11,"L"
17767,"York St",7,6,24,"F"
17595,"Wall St",6,9,28,"4 5"
17644,"Junction Blvd",4,4,15,"7"
20023,"West Farms Sq-E Tremont Av",3,6,17,"2 5"
17557,"Nevins St",8,12,38,"2 3 4 5"
17679,"23 St",3,7,19,"A C E"
17720,"Bay Pkwy",1,9,19,"D"
17494,"207 St",2,9,21,"1"
17548,"125 St",7,5,23,"2 3"
17517,"18 St",0,5,10,"1 2"
17672,"103 St",2,3,10,"A C B"
17673,"96 St",5,3,16,"A C B"
17676,"72 St",4,4,16,"A C B"
17745,"Avenue H",1,5,12,"B Q"
17873,"Broad St",1,4,10,"J Z"
20062,"Jamaica-179 St",4,12,32,"E F"
17599,"Gun Hill Rd",6,10,33,"5"
20073,"Bedford-Nostrand Avs",4,10,29,"G"
17556,"Hoyt St",5,6,23,"2 3"
20020,"34 St-Penn Station",10,19,61,"1 2 3"
